"fldName";"fldStatusFromDate";"fldStatusToDate";"fldStatus";"fldNpdidField";"fldStatusDateUpdated";"datesyncNPD"
"ALBUSKJELL";"25.04.1975";"25.05.1979";"Approved for production";"43437";"23.06.2017";"30.06.2017"
"ALBUSKJELL";"26.05.1979";"25.08.1998";"Producing";"43437";"23.06.2017";"30.06.2017"
"ALBUSKJELL";"26.08.1998";"";"Shut down";"43437";"";"30.06.2017"
"ALVE";"16.03.2007";"18.03.2009";"Approved for production";"4444332";"24.11.2016";"30.06.2017"
"ALVE";"19.03.2009";"";"Producing";"4444332";"";"30.06.2017"
"ALVHEIM";"06.10.2004";"07.06.2008";"Approved for production";"2845712";"24.11.2016";"30.06.2017"
"ALVHEIM";"08.06.2008";"";"Producing";"2845712";"";"30.06.2017"
"ATLA";"04.11.2011";"06.10.2012";"Approved for production";"21106284";"24.11.2016";"30.06.2017"
"ATLA";"07.10.2012";"";"Producing";"21106284";"";"30.06.2017"
"BALDER";"02.02.1996";"01.10.1999";"Approved for production";"43562";"23.06.2017";"30.06.2017"
"BALDER";"02.10.1999";"";"Producing";"43562";"";"30.06.2017"
"BAUGE";"20.06.2017";"";"Approved for production";"29446221";"";"30.06.2017"
"BLANE";"01.07.2005";"11.09.2007";"Approved for production";"3437650";"24.11.2016";"30.06.2017"
"BLANE";"12.09.2007";"";"Producing";"3437650";"";"30.06.2017"
"BRAGE";"29.03.1990";"22.09.1993";"Approved for production";"43651";"23.06.2017";"30.06.2017"
"BRAGE";"23.09.1993";"";"Producing";"43651";"";"30.06.2017"
"BRYNHILD";"11.11.2011";"23.12.2014";"Approved for production";"21123063";"24.11.2016";"30.06.2017"
"BRYNHILD";"24.12.2014";"";"Producing";"21123063";"10.01.2015";"30.06.2017"
"BYRDING";"17.01.2017";"";"Approved for production";"28975067";"";"30.06.2017"
"BØYLA";"26.10.2012";"18.01.2015";"Approved for production";"22492497";"24.11.2016";"30.06.2017"
"BØYLA";"19.01.2015";"";"Producing";"22492497";"";"30.06.2017"
"COD";"04.05.1973";"26.12.1977";"Approved for production";"43785";"24.11.2016";"30.06.2017"
"COD";"26.12.1977";"05.08.1998";"Producing";"43785";"";"30.06.2017"
"COD";"05.08.1998";"";"Shut down";"43785";"";"30.06.2017"
"DRAUGEN";"19.12.1988";"19.10.1993";"Approved for production";"43758";"24.11.2016";"30.06.2017"
"DRAUGEN";"19.10.1993";"";"Producing";"43758";"";"30.06.2017"
"DVALIN";"21.03.2017";"";"Approved for production";"29393934";"";"30.06.2017"
"EDDA";"25.04.1975";"02.12.1979";"Approved for production";"43541";"24.11.2016";"30.06.2017"
"EDDA";"02.12.1979";"05.08.1998";"Producing";"43541";"";"30.06.2017"
"EDDA";"05.08.1998";"";"Shut down";"43541";"";"30.06.2017"
"EDVARD GRIEG";"11.06.2012";"27.11.2015";"Approved for production";"21675433";"24.11.2016";"30.06.2017"
"EDVARD GRIEG";"28.11.2015";"";"Producing";"21675433";"";"30.06.2017"
"EKOFISK";"15.06.1971";"";"Producing";"43506";"";"30.06.2017"
"EKOFISK";"01.03.1972";"14.06.1971";"Approved for production";"43506";"23.06.2017";"30.06.2017"
"ELDFISK";"25.04.1975";"08.08.1979";"Approved for production";"43527";"24.11.2016";"30.06.2017"
"ELDFISK";"08.08.1979";"";"Producing";"43527";"";"30.06.2017"
"EMBLA";"14.12.1990";"12.05.1993";"Approved for production";"43534";"24.11.2016";"30.06.2017"
"EMBLA";"12.05.1993";"";"Producing";"43534";"";"30.06.2017"
"ENOCH";"01.07.2005";"30.05.2007";"Approved for production";"3437659";"24.11.2016";"30.06.2017"
"ENOCH";"31.05.2007";"";"Producing";"3437659";"";"30.06.2017"
"FLYNDRE";"23.05.2014";"25.03.2017";"Approved for production";"24635035";"28.03.2017";"30.06.2017"
"FLYNDRE";"26.03.2017";"";"Producing";"24635035";"";"30.06.2017"
"FRAM";"23.03.2001";"01.10.2003";"Approved for production";"1578840";"24.11.2016";"30.06.2017"
"FRAM";"02.10.2003";"";"Producing";"1578840";"";"30.06.2017"
"FRAM H-NORD";"07.06.2013";"05.09.2014";"Approved for production";"23410947";"24.11.2016";"30.06.2017"
"FRAM H-NORD";"06.09.2014";"";"Producing";"23410947";"";"30.06.2017"
"FRIGG";"13.06.1974";"12.09.1977";"Approved for production";"43555";"24.11.2016";"30.06.2017"
"FRIGG";"13.09.1977";"25.10.2004";"Producing";"43555";"";"30.06.2017"
"FRIGG";"26.10.2004";"";"Shut down";"43555";"";"30.06.2017"
"FRØY";"18.05.1992";"15.05.1995";"Approved for production";"43597";"24.11.2016";"30.06.2017"
"FRØY";"15.05.1995";"05.03.2001";"Producing";"43597";"";"30.06.2017"
"FRØY";"05.03.2001";"";"Shut down";"43597";"";"30.06.2017"
"GAUPE";"25.06.2010";"30.03.2012";"Approved for production";"18161341";"24.11.2016";"30.06.2017"
"GAUPE";"31.03.2012";"";"Producing";"18161341";"";"30.06.2017"
"GIMLE";"18.05.2006";"18.05.2006";"Approved for production";"4005142";"24.11.2016";"30.06.2017"
"GIMLE";"19.05.2006";"";"Producing";"4005142";"";"30.06.2017"
"GINA KROG";"21.05.2013";"";"Approved for production";"23384544";"24.11.2016";"30.06.2017"
"GJØA";"14.06.2007";"06.11.2010";"Approved for production";"4467574";"24.11.2016";"30.06.2017"
"GJØA";"07.11.2010";"";"Producing";"4467574";"";"30.06.2017"
"GLITNE";"08.09.2000";"28.08.2001";"Approved for production";"1272071";"24.11.2016";"30.06.2017"
"GLITNE";"29.08.2001";"23.02.2013";"Producing";"1272071";"23.03.2013";"30.06.2017"
"GLITNE";"24.02.2013";"";"Shut down";"1272071";"";"30.06.2017"
"GOLIAT";"18.06.2009";"11.03.2016";"Approved for production";"5774394";"24.11.2016";"30.06.2017"
"GOLIAT";"12.03.2016";"";"Producing";"5774394";"";"30.06.2017"
"GRANE";"14.06.2000";"22.09.2003";"Approved for production";"1035937";"24.11.2016";"30.06.2017"
"GRANE";"23.09.2003";"";"Producing";"1035937";"";"30.06.2017"
"GUDRUN";"16.06.2010";"06.04.2014";"Approved for production";"18116481";"24.11.2016";"30.06.2017"
"GUDRUN";"07.04.2014";"";"Producing";"18116481";"";"30.06.2017"
"GULLFAKS";"09.10.1981";"22.12.1986";"Approved for production";"43686";"24.11.2016";"30.06.2017"
"GULLFAKS";"22.12.1986";"";"Producing";"43686";"";"30.06.2017"
"GULLFAKS SØR";"29.03.1996";"10.10.1998";"Approved for production";"43699";"24.11.2016";"30.06.2017"
"GULLFAKS SØR";"10.10.1998";"";"Producing";"43699";"";"30.06.2017"
"GUNGNE";"29.08.1995";"21.04.1996";"Approved for production";"43464";"24.11.2016";"30.06.2017"
"GUNGNE";"21.04.1996";"";"Producing";"43464";"";"30.06.2017"
"GYDA";"02.06.1987";"21.06.1990";"Approved for production";"43492";"24.11.2016";"30.06.2017"
"GYDA";"21.06.1990";"";"Producing";"43492";"";"30.06.2017"
"HANZ";"21.05.2013";"";"Approved for production";"25307278";"24.11.2016";"30.06.2017"
"HEIDRUN";"14.05.1991";"18.10.1995";"Approved for production";"43771";"24.11.2016";"30.06.2017"
"HEIDRUN";"18.10.1995";"";"Producing";"43771";"";"30.06.2017"
"HEIMDAL";"10.06.1981";"12.12.1985";"Approved for production";"43590";"24.11.2016";"30.06.2017"
"HEIMDAL";"13.12.1985";"";"Producing";"43590";"20.10.2015";"30.06.2017"
"HOD";"26.06.1988";"30.09.1990";"Approved for production";"43485";"24.11.2016";"30.06.2017"
"HOD";"30.09.1990";"";"Producing";"43485";"";"30.06.2017"
"HULDRA";"02.02.1999";"20.11.2001";"Approved for production";"97002";"24.11.2016";"30.06.2017"
"HULDRA";"21.11.2001";"02.09.2014";"Producing";"97002";"06.09.2014";"30.06.2017"
"HULDRA";"03.09.2014";"";"Shut down";"97002";"";"30.06.2017"
"HYME";"24.06.2011";"01.03.2013";"Approved for production";"20474183";"24.11.2016";"30.06.2017"
"HYME";"02.03.2013";"";"Producing";"20474183";"";"30.06.2017"
"ISLAY";"05.07.2010";"09.04.2012";"Approved for production";"21105675";"24.11.2016";"30.06.2017"
"ISLAY";"10.04.2012";"";"Producing";"21105675";"";"30.06.2017"
"IVAR AASEN";"21.05.2013";"23.12.2016";"Approved for production";"23384520";"28.12.2016";"30.06.2017"
"IVAR AASEN";"24.12.2016";"";"Producing";"23384520";"";"30.06.2017"
"JETTE";"17.02.2012";"19.05.2013";"Approved for production";"21613906";"24.11.2016";"30.06.2017"
"JETTE";"20.05.2013";"12.12.2016";"Producing";"21613906";"22.12.2016";"30.06.2017"
"JETTE";"13.12.2016";"";"Shut down";"21613906";"22.12.2016";"30.06.2017"
"JOHAN SVERDRUP";"18.06.2015";"";"Approved for production";"26376286";"24.11.2016";"30.06.2017"
"JOTUN";"10.06.1997";"24.10.1999";"Approved for production";"43604";"20.12.2016";"30.06.2017"
"JOTUN";"25.10.1999";"12.12.2016";"Producing";"43604";"22.12.2016";"30.06.2017"
"JOTUN";"13.12.2016";"";"Shut down";"43604";"22.12.2016";"30.06.2017"
"KNARR";"09.06.2011";"15.03.2015";"Approved for production";"20460988";"24.11.2016";"30.06.2017"
"KNARR";"16.03.2015";"";"Producing";"20460988";"25.03.2015";"30.06.2017"
"KRISTIN";"17.12.2001";"02.11.2005";"Approved for production";"1854729";"24.11.2016";"30.06.2017"
"KRISTIN";"03.11.2005";"";"Producing";"1854729";"";"30.06.2017"
"KVITEBJØRN";"14.06.2000";"25.09.2004";"Approved for production";"1036101";"24.11.2016";"30.06.2017"
"KVITEBJØRN";"26.09.2004";"";"Producing";"1036101";"";"30.06.2017"
"LILLE-FRIGG";"06.09.1991";"13.05.1994";"Approved for production";"43583";"24.11.2016";"30.06.2017"
"LILLE-FRIGG";"13.05.1994";"25.03.1999";"Producing";"43583";"";"30.06.2017"
"LILLE-FRIGG";"25.03.1999";"";"Shut down";"43583";"";"30.06.2017"
"MARIA";"04.09.2015";"";"Approved for production";"26465170";"24.11.2016";"30.06.2017"
"MARTIN LINGE";"11.06.2012";"";"Approved for production";"21675447";"24.11.2016";"30.06.2017"
"MARULK";"15.07.2010";"01.04.2012";"Approved for production";"18212090";"24.11.2016";"30.06.2017"
"MARULK";"02.04.2012";"";"Producing";"18212090";"";"30.06.2017"
"MIKKEL";"14.09.2001";"31.07.2003";"Approved for production";"1630514";"24.11.2016";"30.06.2017"
"MIKKEL";"01.08.2003";"";"Producing";"1630514";"";"30.06.2017"
"MIME";"06.11.1992";"31.12.1992";"Approved for production";"43792";"24.11.2016";"30.06.2017"
"MIME";"01.01.1993";"03.11.1993";"Producing";"43792";"";"30.06.2017"
"MIME";"04.11.1993";"";"Shut down";"43792";"";"30.06.2017"
"MORVIN";"25.04.2008";"31.07.2010";"Approved for production";"4966234";"24.11.2016";"30.06.2017"
"MORVIN";"01.08.2010";"";"Producing";"4966234";"";"30.06.2017"
"MURCHISON";"15.12.1976";"27.09.1980";"Approved for production";"43665";"24.11.2016";"30.06.2017"
"MURCHISON";"28.09.1980";"27.02.2014";"Producing";"43665";"05.03.2014";"30.06.2017"
"MURCHISON";"31.03.2014";"";"Shut down";"43665";"04.04.2014";"30.06.2017"
"NJORD";"12.06.1995";"30.09.1997";"Approved for production";"43751";"24.11.2016";"30.06.2017"
"NJORD";"30.09.1997";"";"Producing";"43751";"";"30.06.2017"
"NORDØST FRIGG";"12.09.1980";"01.12.1983";"Approved for production";"43568";"24.11.2016";"30.06.2017"
"NORDØST FRIGG";"01.12.1983";"08.05.1993";"Producing";"43568";"";"30.06.2017"
"NORDØST FRIGG";"08.05.1993";"";"Shut down";"43568";"";"30.06.2017"
"NORNE";"09.03.1995";"06.11.1997";"Approved for production";"43778";"24.11.2016";"30.06.2017"
"NORNE";"06.11.1997";"";"Producing";"43778";"";"30.06.2017"
"ODA";"12.05.2017";"";"Approved for production";"29412516";"";"30.06.2017"
"ODIN";"18.07.1980";"01.04.1984";"Approved for production";"43610";"24.11.2016";"30.06.2017"
"ODIN";"01.04.1984";"01.08.1994";"Producing";"43610";"";"30.06.2017"
"ODIN";"01.08.1994";"";"Shut down";"43610";"";"30.06.2017"
"ORMEN LANGE";"02.04.2004";"12.09.2007";"Approved for production";"2762452";"24.11.2016";"30.06.2017"
"ORMEN LANGE";"13.09.2007";"";"Producing";"2762452";"";"30.06.2017"
"OSEBERG";"05.06.1984";"01.12.1988";"Approved for production";"43625";"24.11.2016";"30.06.2017"
"OSEBERG";"01.12.1988";"";"Producing";"43625";"";"30.06.2017"
"OSEBERG SØR";"10.06.1997";"05.02.2000";"Approved for production";"43645";"24.11.2016";"30.06.2017"
"OSEBERG SØR";"05.02.2000";"";"Producing";"43645";"";"30.06.2017"
"OSEBERG ØST";"11.10.1996";"03.05.1999";"Approved for production";"43639";"24.11.2016";"30.06.2017"
"OSEBERG ØST";"03.05.1999";"";"Producing";"43639";"";"30.06.2017"
"OSELVAR";"19.06.2009";"13.04.2012";"Approved for production";"5506919";"24.11.2016";"30.06.2017"
"OSELVAR";"14.04.2012";"";"Producing";"5506919";"";"30.06.2017"
"REV";"15.06.2007";"23.01.2009";"Approved for production";"4467554";"24.11.2016";"30.06.2017"
"REV";"24.01.2009";"";"Producing";"4467554";"";"30.06.2017"
"RINGHORNE ØST";"10.11.2005";"18.03.2006";"Approved for production";"3505505";"24.11.2016";"30.06.2017"
"RINGHORNE ØST";"19.03.2006";"";"Producing";"3505505";"";"30.06.2017"
"SIGYN";"31.08.2001";"22.12.2002";"Approved for production";"1630100";"24.11.2016";"30.06.2017"
"SIGYN";"22.12.2002";"";"Producing";"1630100";"";"30.06.2017"
"SINDRE";"27.03.2017";"25.05.2017";"Approved for production";"29401178";"02.06.2017";"30.06.2017"
"SINDRE";"26.05.2017";"";"Producing";"29401178";"";"30.06.2017"
"SKARV";"18.12.2007";"31.12.2012";"Approved for production";"4704482";"24.11.2016";"30.06.2017"
"SKARV";"01.01.2013";"";"Producing";"4704482";"";"30.06.2017"
"SKIRNE";"05.07.2002";"02.03.2004";"Approved for production";"2138816";"24.11.2016";"30.06.2017"
"SKIRNE";"03.03.2004";"";"Producing";"2138816";"";"30.06.2017"
"SKULD";"20.01.2012";"18.03.2013";"Approved for production";"21350124";"24.11.2016";"30.06.2017"
"SKULD";"19.03.2013";"";"Producing";"21350124";"";"30.06.2017"
"SLEIPNER VEST";"14.12.1992";"29.08.1996";"Approved for production";"43457";"24.11.2016";"30.06.2017"
"SLEIPNER VEST";"29.08.1996";"";"Producing";"43457";"";"30.06.2017"
"SLEIPNER ØST";"15.12.1986";"24.08.1993";"Approved for production";"43478";"24.11.2016";"30.06.2017"
"SLEIPNER ØST";"24.08.1993";"";"Producing";"43478";"";"30.06.2017"
"SNORRE";"27.05.1988";"03.08.1992";"Approved for production";"43718";"24.11.2016";"30.06.2017"
"SNORRE";"03.08.1992";"";"Producing";"43718";"";"30.06.2017"
"SNØHVIT";"07.03.2002";"20.08.2007";"Approved for production";"2053062";"24.11.2016";"30.06.2017"
"SNØHVIT";"21.08.2007";"";"Producing";"2053062";"";"30.06.2017"
"STATFJORD";"16.06.1976";"24.11.1979";"Approved for production";"43658";"24.11.2016";"30.06.2017"
"STATFJORD";"24.11.1979";"";"Producing";"43658";"";"30.06.2017"
"STATFJORD NORD";"11.12.1990";"23.01.1995";"Approved for production";"43679";"24.11.2016";"30.06.2017"
"STATFJORD NORD";"23.01.1995";"";"Producing";"43679";"";"30.06.2017"
"STATFJORD ØST";"11.12.1990";"24.09.1994";"Approved for production";"43672";"24.11.2016";"30.06.2017"
"STATFJORD ØST";"24.09.1994";"";"Producing";"43672";"";"30.06.2017"
"SVALIN";"23.11.2012";"23.03.2014";"Approved for production";"22507971";"24.11.2016";"30.06.2017"
"SVALIN";"24.03.2014";"";"Producing";"22507971";"";"30.06.2017"
"SYGNA";"30.04.1999";"01.08.2000";"Approved for production";"104718";"24.11.2016";"30.06.2017"
"SYGNA";"01.08.2000";"";"Producing";"104718";"";"30.06.2017"
"TAMBAR";"03.04.2000";"15.07.2001";"Approved for production";"1028599";"24.11.2016";"30.06.2017"
"TAMBAR";"15.07.2001";"";"Producing";"1028599";"";"30.06.2017"
"TAMBAR ØST";"28.06.2007";"01.10.2007";"Approved for production";"4999528";"24.11.2016";"30.06.2017"
"TAMBAR ØST";"02.10.2007";"";"Producing";"4999528";"";"30.06.2017"
"TOMMELITEN GAMMA";"12.06.1986";"03.10.1988";"Approved for production";"43444";"24.11.2016";"30.06.2017"
"TOMMELITEN GAMMA";"03.10.1988";"05.08.1998";"Producing";"43444";"";"30.06.2017"
"TOMMELITEN GAMMA";"05.08.1998";"";"Shut down";"43444";"";"30.06.2017"
"TOR";"04.05.1973";"27.06.1978";"Approved for production";"43520";"24.11.2016";"30.06.2017"
"TOR";"28.06.1978";"31.12.2015";"Producing";"43520";"31.12.2015";"30.06.2017"
"TOR";"01.01.2016";"";"Shut down";"43520";"";"30.06.2017"
"TORDIS";"14.05.1991";"03.06.1994";"Approved for production";"43725";"24.11.2016";"30.06.2017"
"TORDIS";"03.06.1994";"";"Producing";"43725";"";"30.06.2017"
"TRESTAKK";"30.03.2017";"";"Approved for production";"29396445";"";"30.06.2017"
"TROLL";"15.12.1986";"19.09.1995";"Approved for production";"46437";"24.11.2016";"30.06.2017"
"TROLL";"19.09.1995";"";"Producing";"46437";"";"30.06.2017"
"TROLL BRENT B";"06.04.2017";"";"Approved for production";"29398828";"";"30.06.2017"
"TRYM";"26.03.2010";"11.02.2011";"Approved for production";"18081500";"24.11.2016";"30.06.2017"
"TRYM";"12.02.2011";"";"Producing";"18081500";"";"30.06.2017"
"TUNE";"17.12.1999";"28.11.2002";"Approved for production";"853376";"24.11.2016";"30.06.2017"
"TUNE";"28.11.2002";"";"Producing";"853376";"";"30.06.2017"
"TYRIHANS";"16.02.2006";"07.07.2009";"Approved for production";"3960848";"24.11.2016";"30.06.2017"
"TYRIHANS";"08.07.2009";"";"Producing";"3960848";"";"30.06.2017"
"ULA";"30.05.1980";"06.10.1986";"Approved for production";"43800";"24.11.2016";"30.06.2017"
"ULA";"06.10.1986";"";"Producing";"43800";"";"30.06.2017"
"URD";"02.07.2004";"07.11.2005";"Approved for production";"2834734";"24.11.2016";"30.06.2017"
"URD";"08.11.2005";"";"Producing";"2834734";"";"30.06.2017"
"UTGARD";"17.01.2017";"";"Approved for production";"28975098";"";"30.06.2017"
"VALE";"23.03.2001";"31.05.2002";"Approved for production";"1578893";"24.11.2016";"30.06.2017"
"VALE";"31.05.2002";"";"Producing";"1578893";"";"30.06.2017"
"VALEMON";"09.06.2011";"02.01.2015";"Approved for production";"20460969";"24.11.2016";"30.06.2017"
"VALEMON";"03.01.2015";"";"Producing";"20460969";"";"30.06.2017"
"VALHALL";"02.06.1977";"02.10.1982";"Approved for production";"43548";"24.11.2016";"30.06.2017"
"VALHALL";"02.10.1982";"";"Producing";"43548";"";"30.06.2017"
"VARG";"03.05.1996";"21.12.1998";"Approved for production";"43451";"24.11.2016";"30.06.2017"
"VARG";"22.12.1998";"01.06.2016";"Producing";"43451";"07.06.2016";"30.06.2017"
"VARG";"02.06.2016";"";"Shut down";"43451";"";"30.06.2017"
"VEGA";"14.06.2007";"01.12.2010";"Approved for production";"4467595";"24.11.2016";"30.06.2017"
"VEGA";"02.12.2010";"";"Producing";"4467595";"";"30.06.2017"
"VESLEFRIKK";"02.06.1987";"26.12.1989";"Approved for production";"43618";"24.11.2016";"30.06.2017"
"VESLEFRIKK";"26.12.1989";"";"Producing";"43618";"";"30.06.2017"
"VEST EKOFISK";"04.05.1973";"31.05.1977";"Approved for production";"43513";"24.11.2016";"30.06.2017"
"VEST EKOFISK";"31.05.1977";"25.08.1998";"Producing";"43513";"";"30.06.2017"
"VEST EKOFISK";"25.08.1998";"";"Shut down";"43513";"";"30.06.2017"
"VIGDIS";"16.12.1994";"28.01.1997";"Approved for production";"43732";"24.11.2016";"30.06.2017"
"VIGDIS";"28.01.1997";"";"Producing";"43732";"";"30.06.2017"
"VILJE";"18.03.2005";"31.07.2008";"Approved for production";"3392471";"24.11.2016";"30.06.2017"
"VILJE";"01.08.2008";"";"Producing";"3392471";"";"30.06.2017"
"VISUND";"29.03.1996";"21.04.1999";"Approved for production";"43745";"24.11.2016";"30.06.2017"
"VISUND";"21.04.1999";"";"Producing";"43745";"";"30.06.2017"
"VISUND SØR";"10.06.2011";"21.11.2012";"Approved for production";"20461008";"24.11.2016";"30.06.2017"
"VISUND SØR";"22.11.2012";"";"Producing";"20461008";"";"30.06.2017"
"VOLUND";"18.01.2007";"09.09.2009";"Approved for production";"4380167";"24.11.2016";"30.06.2017"
"VOLUND";"10.09.2009";"";"Producing";"4380167";"";"30.06.2017"
"VOLVE";"22.04.2005";"11.02.2008";"Approved for production";"3420717";"24.11.2016";"30.06.2017"
"VOLVE";"12.02.2008";"21.09.2016";"Producing";"3420717";"25.10.2016";"30.06.2017"
"VOLVE";"22.09.2016";"";"Shut down";"3420717";"";"30.06.2017"
"YME";"06.01.1995";"26.02.1996";"Approved for production";"43807";"24.11.2016";"30.06.2017"
"YME";"27.02.1996";"16.04.2001";"Producing";"43807";"";"30.06.2017"
"YME";"17.04.2001";"10.05.2007";"Shut down";"43807";"";"30.06.2017"
"YME";"11.05.2007";"11.12.2014";"Approved for production";"43807";"24.11.2016";"30.06.2017"
"YME";"12.12.2014";"";"Shut down";"43807";"";"30.06.2017"
"YTTERGRYTA";"21.05.2008";"04.01.2009";"Approved for production";"4973114";"24.11.2016";"30.06.2017"
"YTTERGRYTA";"05.01.2009";"28.06.2013";"Producing";"4973114";"30.01.2014";"30.06.2017"
"YTTERGRYTA";"29.06.2013";"";"Shut down";"4973114";"";"30.06.2017"
"ØST FRIGG";"14.12.1984";"01.10.1988";"Approved for production";"43576";"24.11.2016";"30.06.2017"
"ØST FRIGG";"01.10.1988";"22.12.1997";"Producing";"43576";"";"30.06.2017"
"ØST FRIGG";"22.12.1997";"";"Shut down";"43576";"";"30.06.2017"
"ÅSGARD";"14.06.1996";"19.05.1999";"Approved for production";"43765";"24.11.2016";"30.06.2017"
"ÅSGARD";"19.05.1999";"";"Producing";"43765";"";"30.06.2017"
"AASTA HANSTEEN";"07.06.2013";"";"Approved for production";"23395946";"24.11.2016";"30.06.2017"
